Crime level,Crime level code,Neighbourhood,ATM,Accessories Store,Afghan Restaurant,African Restaurant,Airport,Airport Lounge,American Restaurant,Amphitheater,Animal Shelter,Antique Shop,Aquarium,Arcade,Argentinian Restaurant,Art Gallery,Art Museum,Arts & Crafts Store,Asian Restaurant,Athletics & Sports,Auto Dealership,Auto Garage,Automotive Shop,BBQ Joint,Baby Store,Badminton Court,Bagel Shop,Bakery,Bank,Bar,Baseball Field,Baseball Stadium,Basketball Court,Basketball Stadium,Beach,Beach Bar,Beer Bar,Beer Store,Belgian Restaurant,Big Box Store,Bike Shop,Bistro,Boat or Ferry,Bookstore,Botanical Garden,Boutique,Bowling Alley,Brazilian Restaurant,Breakfast Spot,Brewery,Bridal Shop,Bridge,Bubble Tea Shop,Building,Burger Joint,Burrito Place,Bus Line,Bus Station,Bus Stop,Business Service,Butcher,Cafeteria,Café,Cajun / Creole Restaurant,Camera Store,Campground,Cantonese Restaurant,Caribbean Restaurant,Casino,Castle,Cemetery,Cheese Shop,Chinese Restaurant,Chiropractor,Chocolate Shop,Churrascaria,Circus,Climbing Gym,Clothing Store,Cocktail Bar,Coffee Shop,College Gym,College Quad,College Rec Center,Comedy Club,Comfort Food Restaurant,Comic Shop,Concert Hall,Convenience Store,Cosmetics Shop,Costume Shop,Coworking Space,Creperie,Cuban Restaurant,Cupcake Shop,Curling Ice,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dive Bar,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Flea Market,Flower Shop,Food,Food & Drink Shop,Food Court,Food Stand,Food Truck,Fountain,French Restaurant,Fried Chicken Joint,Frozen Yogurt Shop,Fruit & Vegetable Store,Furniture / Home Store,Gaming Cafe,Garden,Gas Station,Gastropub,Gay Bar,General Entertainment,German Restaurant,Gift Shop,Go Kart Track,Golf Course,Gourmet Shop,Government Building,Greek Restaurant,Grocery Store,Gym,Gym / Fitness Center,Gym Pool,Hakka Restaurant,Harbor / Marina,Hardware Store,Hawaiian Restaurant,Health & Beauty Service,Health Food Store,High School,Historic Site,History Museum,Hobby Shop,Hockey Arena,Home Service,Hong Kong Restaurant,Hookah Bar,Hospital,Hostel,Hot Dog Joint,Hotel,Hotel Bar,Hotpot Restaurant,Hungarian Restaurant,IT Services,Ice Cream Shop,Indian Chinese Restaurant,Indian Restaurant,Indie Movie Theater,Indie Theater,Indonesian Restaurant,Indoor Play Area,Intersection,Irish Pub,Italian Restaurant,Japanese Restaurant,Jazz Club,Jewelry Store,Jewish Restaurant,Juice Bar,Kids Store,Kitchen Supply Store,Korean Restaurant,Lake,Latin American Restaurant,Laundromat,Leather Goods Store,Light Rail Station,Lingerie Store,Liquor Store,Lounge,Malay Restaurant,Market,Martial Arts School,Massage Studio,Medical Center,Medical Supply Store,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant,Middle Eastern Restaurant,Miscellaneous Shop,Mobile Phone Shop,Modern European Restaurant,Monument / Landmark,Moroccan Restaurant,Movie Theater,Moving Target,Museum,Music School,Music Store,Music Venue,Nail Salon,National Park,Neighborhood,New American Restaurant,Nightclub,Non-Profit,Noodle House,Nudist Beach,Optical Shop,Organic Grocery,Other Great Outdoors,Outdoor Supply Store,Paintball Field,Pakistani Restaurant,Paper / Office Supplies Store,Park,Pastry Shop,Peking Duck Restaurant,Performing Arts Venue,Persian Restaurant,Pet Store,Pharmacy,Pie Shop,Pilates Studio,Pizza Place,Playground,Plaza,Poke Place,Pool,Pool Hall,Portuguese Restaurant,Poutine Place,Print Shop,Pub,Racecourse,Racetrack,Ramen Restaurant,Record Shop,Recreation Center,Rental Car Location,Residential Building (Apartment / Condo),Restaurant,River,Rock Climbing Spot,Rock Club,Roof Deck,Salad Place,Salon / Barbershop,Sandwich Place,Scenic Lookout,Science Museum,Sculpture Garden,Seafood Restaurant,Shoe Store,Shopping Mall,Skate Park,Skating Rink,Ski Chalet,Smoke Shop,Smoothie Shop,Snack Place,Soccer Field,Soccer Stadium,Soup Place,South American Restaurant,Spa,Speakeasy,Sporting Goods Shop,Sports Bar,Sports Club,Sri Lankan Restaurant,Stadium,Stationery Store,Steakhouse,Street Art,Supermarket,Supplement Shop,Sushi Restaurant,Syrian Restaurant,Szechuan Restaurant,Taco Place,Taiwanese Restaurant,Tapas Restaurant,Tattoo Parlor,Tea Room,Tennis Court,Tennis Stadium,Thai Restaurant,Theater,Theme Park,Theme Park Ride / Attraction,Theme Restaurant,Thrift / Vintage Store,Tibetan Restaurant,Toy / Game Store,Track,Trail,Train Station,Transportation Service,Turkish Restaurant,Udon Restaurant,University,Vegetarian / Vegan Restaurant,Video Game Store,Video Store,Vietnamese Restaurant,Volleyball Court,Warehouse Store,Whisky Bar,Wine Bar,Wings Joint,Women's Store,Xinjiang Restaurant,Yoga Studio,Zoo,Zoo Exhibit
High,3,"Kensington Market, Chinatown, Grange Park",0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0.03,0,0.02,0.01,0,0,0,0,0,0,0,0,0.03,0,0.06,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0.07,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0.01,0.03,0.04,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,0.03,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0,0.01,0,0.01,0,0,0.01,0.02,0,0,0,0.02,0,0,0.01,0,0,0,0.04,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0.03,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0.03,0,0
Low,1,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",0,0,0,0,0,0,0.048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048780487804878,0,0.024390243902439,0,0,0,0,0,0,0.048780487804878,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0.097560975609756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0.024390243902439,0,0,0,0,0,0.073170731707317,0,0,0.097560975609756,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0.073170731707317,0,0,0,0,0,0.048780487804878,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0.048780487804878,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0
Medium,2,"Lawrence Manor, Lawrence Heights",0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.12,0,0.06,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.01,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0.01,0,0.03,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.02,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0.01,0.01,0,0.02,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0.02,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.03,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0.03,0,0,0,0,0,0.02,0,0,0,0
Low,1,Lawrence Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029850746268657,0,0,0,0,0.014925373134328,0,0,0,0.044776119402985,0.029850746268657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0.014925373134328,0,0.014925373134328,0,0,0,0,0,0,0,0.029850746268657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074626865671642,0.014925373134328,0.014925373134328,0,0,0,0,0,0,0.029850746268657,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0.029850746268657,0,0,0,0,0,0,0.014925373134328,0,0.014925373134328,0.014925373134328,0,0,0,0,0.014925373134328,0.014925373134328,0,0,0,0.014925373134328,0,0.014925373134328,0,0,0,0,0,0.014925373134328,0,0,0,0.014925373134328,0,0.029850746268657,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0.044776119402985,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0.029850746268657,0,0,0,0,0,0.014925373134328,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0.029850746268657,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0.029850746268657,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0.014925373134328,0,0.014925373134328,0,0.059701492537314,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0.014925373134328,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Low,1,Leaside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333,0,0.013333333333333,0,0,0.013333333333333,0.013333333333333,0,0.013333333333333,0.04,0.013333333333333,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333,0,0,0,0,0,0,0,0.013333333333333,0.013333333333333,0,0,0,0,0.026666666666667,0,0.013333333333333,0,0,0,0,0,0.013333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053333333333333,0,0,0,0,0,0,0,0.013333333333333,0,0,0,0,0,0,0.013333333333333,0,0,0.013333333333333,0,0,0,0.013333333333333,0,0,0,0,0,0,0,0,0.026666666666667,0,0,0,0,0,0,0,0,0,0.013333333333333,0.013333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333,0,0,0.013333333333333,0,0,0,0,0,0,0,0,0,0,0.053333333333333,0.013333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333,0,0.053333333333333,0,0,0,0,0.026666666666667,0,0,0.013333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333,0.026666666666667,0,0,0,0,0.013333333333333,0.013333333333333,0,0,0.013333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.026666666666667,0,0,0,0,0,0.013333333333333,0,0.013333333333333,0,0.013333333333333,0.013333333333333,0,0,0,0,0,0,0,0.04,0.013333333333333,0,0,0,0,0,0,0.04,0,0.026666666666667,0,0,0,0,0,0,0,0,0,0.026666666666667,0,0,0,0,0,0,0,0,0.013333333333333,0,0,0,0,0,0,0,0,0,0,0.013333333333333,0,0,0.013333333333333,0,0,0.013333333333333,0,0
Medium,2,"Little Portugal, Trinity",0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0.01,0.03,0.01,0,0,0,0,0,0,0,0.06,0,0.03,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0.01,0,0,0.02,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0.05,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.01,0,0,0.01,0.02,0,0,0,0,0,0
Low,1,"Malvern, Rouge",0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064516129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0.064516129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064516129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0.32258064516129
Medium,2,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679012346,0,0,0,0,0.024691358024691,0,0,0,0.024691358024691,0.024691358024691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061728395061728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679012346,0.012345679012346,0,0,0,0,0.17283950617284,0,0,0,0,0,0,0,0.049382716049383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049382716049383,0.024691358024691,0,0.024691358024691,0,0,0,0,0,0.024691358024691,0,0,0,0,0.012345679012346,0,0,0,0.024691358024691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679012346,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679012346,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679012346,0,0.012345679012346,0,0,0,0,0.049382716049383,0,0,0.012345679012346,0,0,0,0.012345679012346,0,0,0.049382716049383,0,0,0,0,0,0,0,0,0.012345679012346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679012346,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0.024691358024691,0,0,0,0,0,0.049382716049383,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679012346,0,0,0,0,0,0,0.012345679012346,0,0,0,0,0,0.012345679012346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679012346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679012346,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0
Low,1,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888888888889,0,0,0,0.013888888888889,0.013888888888889,0,0,0,0.027777777777778,0.041666666666667,0.013888888888889,0,0,0,0,0,0,0,0.013888888888889,0,0,0,0,0,0,0,0,0,0,0,0.027777777777778,0,0,0,0,0.027777777777778,0.027777777777778,0,0,0,0,0,0,0.013888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069444444444445,0,0,0,0,0.013888888888889,0,0,0.013888888888889,0,0,0,0,0,0,0,0.013888888888889,0,0,0.013888888888889,0,0.013888888888889,0.013888888888889,0,0,0,0,0,0,0,0,0,0,0.013888888888889,0,0,0,0.013888888888889,0,0,0,0,0.013888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777777777778,0.013888888888889,0.041666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888888888889,0,0,0,0,0,0,0,0,0.013888888888889,0.013888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888888888889,0,0,0,0,0,0,0,0,0,0,0.013888888888889,0.013888888888889,0,0,0,0,0,0.013888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888888888889,0,0,0,0,0,0,0.013888888888889,0,0,0,0,0.013888888888889,0,0,0,0.027777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0.013888888888889,0,0,0,0,0,0.013888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0.027777777777778,0,0,0,0,0,0,0,0,0.013888888888889,0.041666666666667,0,0,0,0,0,0,0,0,0,0.027777777777778,0,0,0,0,0.013888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888888888889,0,0,0.013888888888889,0,0,0.027777777777778,0,0
Low,1,"Moore Park, Summerhill East",0,0,0,0,0,0,0.012658227848101,0,0,0,0,0,0,0,0,0,0,0.012658227848101,0,0,0,0.012658227848101,0,0,0.012658227848101,0.012658227848101,0.012658227848101,0.012658227848101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012658227848101,0,0,0,0,0,0.012658227848101,0,0,0,0,0,0,0,0.037974683544304,0,0,0,0.012658227848101,0,0,0,0.012658227848101,0,0,0.012658227848101,0,0,0,0,0,0,0.063291139240506,0,0,0,0,0,0,0,0.012658227848101,0,0,0,0,0,0,0,0,0,0,0.012658227848101,0,0.012658227848101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012658227848101,0.012658227848101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012658227848101,0,0,0,0,0,0,0.025316455696203,0.012658227848101,0,0,0.012658227848101,0.012658227848101,0,0,0.012658227848101,0,0,0.037974683544304,0.025316455696203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012658227848101,0,0,0,0,0,0,0.012658227848101,0,0,0,0,0,0,0.075949367088608,0,0,0,0,0.012658227848101,0.012658227848101,0,0,0,0,0,0,0,0,0.025316455696203,0,0,0,0.012658227848101,0,0,0,0,0,0,0.012658227848101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075949367088608,0,0,0,0,0.012658227848101,0,0,0,0.012658227848101,0,0,0,0,0,0,0,0,0.012658227848101,0,0,0,0,0,0,0,0.037974683544304,0,0,0,0,0,0,0.025316455696203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025316455696203,0,0.012658227848101,0,0,0,0,0,0,0,0.012658227848101,0,0.050632911392405,0,0,0,0,0,0,0,0.012658227848101,0,0.025316455696203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012658227848101,0,0,0,0,0,0,0.012658227848101,0,0,0,0.012658227848101,0,0
Low,1,"New Toronto, Mimico South, Humber Bay Shores",0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.025,0.025,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.025,0,0,0.025,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0.025,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0.025,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Low,1,"North Park, Maple Leaf Park, Upwood Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0.03125,0.03125,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
Low,1,"North Toronto West, Lawrence Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.06,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0.01,0,0,0.02,0,0.01,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0.03,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,0,0,0,0.02,0,0
